N[-],L1[mm],TotalFinMass[kg]
24,33,0.0479571128
24,34,0.0474074495
24,35,0.0468577863
24,36,0.0463081231
24,37,0.0457584598
24,38,0.0452087966
24,39,0.0446591333
24,40,0.0441094701
24,41,0.0435598068
24,42,0.0430101436
24,43,0.0424604803
24,44,0.0419108171
24,45,0.0413611538
24,46,0.0408114906
24,47,0.0402618273
27,33,0.0535408184
27,34,0.0529099948
27,35,0.0522791711
27,36,0.0516483474
27,37,0.0510175237
27,38,0.0503867
27,39,0.0497558763
27,40,0.0491250527
27,41,0.048494229
27,42,0.0478634053
27,43,0.0472325816
27,44,0.0466017579
27,45,0.0459709342
27,46,0.0453401106
27,47,0.0447092869
30,33,0.0591255446
30,34,0.0584135914
30,35,0.0577016382
30,36,0.056989685
30,37,0.0562777318
30,38,0.0555657786
30,39,0.0548538254
30,40,0.0541418722
30,41,0.053429919
30,42,0.0527179658
30,43,0.0520060126
30,44,0.0512940594
30,45,0.0505821062
30,46,0.049870153
30,47,0.0491581998
33,33,0.0647110222
33,34,0.0639179623
33,35,0.0631249023
33,36,0.0623318424
33,37,0.0615387825
33,38,0.0607457225
33,39,0.0599526626
33,40,0.0591596027
33,41,0.0583665427
33,42,0.0575734828
33,43,0.0567804229
33,44,0.0559873629
33,45,0.055194303
33,46,0.0544012431
33,47,0.0536081831
36,33,0.0702970692
36,34,0.0694229198
36,35,0.0685487703
36,36,0.0676746209
36,37,0.0668004715
36,38,0.0659263221
36,39,0.0650521727
36,40,0.0641780233
36,41,0.0633038738
36,42,0.0624297244
36,43,0.061555575
36,44,0.0606814256
36,45,0.0598072762
36,46,0.0589331267
36,47,0.0580589773
39,33,0.0758835578
39,34,0.0749283323
39,35,0.0739731068
39,36,0.0730178813
39,37,0.0720626558
39,38,0.0711074302
39,39,0.0701522047
39,40,0.0691969792
39,41,0.0682417537
39,42,0.0672865282
39,43,0.0663313027
39,44,0.0653760771
39,45,0.0644208516
39,46,0.0634656261
39,47,0.0625104006
42,33,0.081470396
42,34,0.080434105
42,35,0.079397814
42,36,0.0783615229
42,37,0.0773252319
42,38,0.0762889409
42,39,0.0752526498
42,40,0.0742163588
42,41,0.0731800678
42,42,0.0721437768
42,43,0.0711074857
42,44,0.0700711947
42,45,0.0690349037
42,46,0.0679986126
42,47,0.0669623216
45,33,0.0870575155
45,34,0.0859401675
45,35,0.0848228195
45,36,0.0837054715
45,37,0.0825881234
45,38,0.0814707754
45,39,0.0803534274
45,40,0.0792360794
45,41,0.0781187314
45,42,0.0770013834
45,43,0.0758840353
45,44,0.0747666873
45,45,0.0736493393
45,46,0.0725319913
45,47,0.0714146433
48,33,0.0926448647
48,34,0.0914464667
48,35,0.0902480687
48,36,0.0890496706
48,37,0.0878512726
48,38,0.0866528745
48,39,0.0854544765
48,40,0.0842560785
48,41,0.0830576804
48,42,0.0818592824
48,43,0.0806608844
48,44,0.0794624863
48,45,0.0782640883
48,46,0.0770656902
48,47,0.0758672922
51,33,0.0982324041
51,34,0.0969529618
51,35,0.0956735195
51,36,0.0943940772
51,37,0.0931146349
51,38,0.0918351926
51,39,0.0905557503
51,40,0.089276308
51,41,0.0879968656
51,42,0.0867174233
51,43,0.085437981
51,44,0.0841585387
51,45,0.0828790964
51,46,0.0815996541
51,47,0.0803202118
54,33,0.103820102
54,34,0.102459621
54,35,0.101099139
54,36,0.0997386572
54,37,0.0983781755
54,38,0.0970176937
54,39,0.095657212
54,40,0.0942967302
54,41,0.0929362485
54,42,0.0915757667
54,43,0.090215285
54,44,0.0888548032
54,45,0.0874943215
54,46,0.0861338397
54,47,0.084773358
57,33,0.109407935
57,34,0.107966418
57,35,0.106524901
57,36,0.105083384
57,37,0.103641867
57,38,0.10220035
57,39,0.100758833
57,40,0.0993173154
57,41,0.0978757983
57,42,0.0964342812
57,43,0.0949927641
57,44,0.0935512469
57,45,0.0921097298
57,46,0.0906682127
57,47,0.0892266956
60,33,0.114995883
60,34,0.113473334
60,35,0.111950785
60,36,0.110428236
60,37,0.108905687
60,38,0.107383138
60,39,0.105860589
60,40,0.10433804
60,41,0.102815491
60,42,0.101292942
60,43,0.0997703925
60,44,0.0982478435
60,45,0.0967252945
60,46,0.0952027455
60,47,0.0936801964
63,33,0.120583929
63,34,0.118980351
63,35,0.117376773
63,36,0.115773195
63,37,0.114169617
63,38,0.112566039
63,39,0.110962461
63,40,0.109358883
63,41,0.107755305
63,42,0.106151727
63,43,0.104548149
63,44,0.102944571
63,45,0.101340993
63,46,0.0997374155
63,47,0.0981338376
66,33,0.12617206
66,34,0.124487456
66,35,0.122802851
66,36,0.121118247
66,37,0.119433643
66,38,0.117749039
66,39,0.116064434
66,40,0.11437983
66,41,0.112695226
66,42,0.111010622
66,43,0.109326017
66,44,0.107641413
66,45,0.105956809
66,46,0.104272205
66,47,0.1025876
